S,Feedback,Sentiment
700,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
214,fast service.,1
521,Thanks again to Amazon for having the things I need for a good price!,1
233,Great sound and service.,1
80,I wear it everyday and it holds up very well.,1
937,The headset fulfills my requirements so I am happy with my purchase.,1
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
667,"Looks good in the picture, but this case was a huge disappointment!!",0
964,It's pretty easy.,1
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
774,"Excellent sound, battery life and inconspicuous to boot!.",1
174,The file browser offers all the options that one needs.Handsfree is great.,1
732,T-Mobile has the best customer service anywhere.,1
466,No buyers remorse on this one!.,0
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0
417,This is the first phone I've had that has been so cheaply made.,0
37,Poor Talk Time Performance.,0
65,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
902,The cutouts and buttons are placed perfectly.,1
385,The worst piece of crap ever along with the Verizon customer service.,0
274,Avoid this one if you can.,0
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
434,But it does get better reception and clarity than any phone I've had before.,1
877,Excellent!.,1
800,"Good , works fine.",1
523,I had to go to a store and bought a new NOKIA phone which is working great.,1
188,Waste of 13 bucks.,0
591,Linked to my phone without effort.,1
372,Battery life is also great!,1
93,The ear buds only play music in one ear.,0
802,"Great price, too!",1
486,Its not user friendly.,0
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
546,Worst software ever used.... If I could give this zero stars I would.,0
59,The buttons for on and off are bad.,0
340,Excellent sound quality.,1
137,My headset works just peachy-keen.,1
541,I've missed numerous calls because of this reason.,0
119,)Setup couldn't have been simpler.,1
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
875,This is by far the worst purchase I've made on Amazon.,0
730,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
96,If you plan to use this in a car forget about it.,0
337,Very disappointing.,0
968,This company charge me a restocking fee and still not given me my refund back.,0
377,This is a VERY average phone with bad battery life that operates on a weak network.,0
826,Not as good as I had hoped.,0
576,The battery life is highly unacceptable.,0
626,Don't make the same mistake that I did and please don't buy this phone.,0
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
702,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
616,Poor product.,0
64,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
949,I had to purchase a different case.,0
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
692,"I have to use the smallest earpieces provided, but it stays on pretty well.",1
196,You'll love how thin it is.,1
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
514,"very good product, well made.",1
929,As I said above....PRETTY USELESS!,0
761,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
698,"Because both ears are occupied, background is not distracting at all.",1
391,The picture resolution is far below what other comparably-priced phones are offering today.,0
310,"This is a good battery, and it got here really fast.",1
770,AFter the first charge kept going dead after 12 minutes.,0
341,Was not happy.,0
477,The volume switch rocketed out of the unit to a destination unknown.,0
559,"None of it works, just don't buy it.",0
494,Pretty piece of junk.,0
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
350,Were JERKS on the phone.,0
870,Works fine.,1
805,Does Not Work.,0
956,Just reading on the specs alone makes you say WOW.,1
103,The price was very good and with the free shipping and all it was a good purchase.,1
358,The phone gets EXTREMELY HOT!,0
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
77,This is a great little item.,1
661,I'm happy about this purchase- good quality and low price.,1
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
183,"I have this phone and it is a thorn in my side, I really abhor it.",0
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
981,you could only take 2 videos at a time and the quality was very poor.,0
227,I'm a bit disappointed.,0
775,Great bluetooth!.,1
605,This is infuriating.,0
663,Its well-designed and very sharp -- the blue is a very nice color.,1
362,"It is light, easy to use, and has very clear reception and transmission.",1
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
893,Bad Reception.,0
432,Low Quality.,0
972,Earbud piece breaks easily.,0
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
669,Setup went very smoothly.,1
837,I don't like this Nokia either.,0
325,"good item, low price.",1
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
865,Would recommend this item.,1
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0
782,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
91,Made very sturdy.,1
767,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
867,"Nice case, feels good in your hands.",1
346,Reception is terrible and full of static.,0
223,"All in all, I'd expected a better consumer experience from Motorola.",0
681,camera color balance is AWFUL.,0
2,Great for the jawbone.,1
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
647,Great phone.,1
193,I have had problems wit hit dropping signal and more.,0
213,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1
398,"Sounds good reasonably priced and effective, Its that simple !",1
298,Customer service was terrible.,0
671,"A must study for anyone interested in the ""worst sins"" of industrial design.",0
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
572,Worst ever.,0
835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
428,IT'S REALLY EASY.,1
984,Adapter does not provide enough charging current.,0
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
293,DO NOT PURCHASE THIS PHONE.,0
666,Nice Sound.,1
668,Much less than the jawbone I was going to replace it with.,1
38,The case is great and works fine with the 680.,1
989,The text messaging feature is really tricky to use.,0
829,Really good product.,1
283,I am very impressed with this headset from Plantronics.,1
175,Superb Phone on a Great Network.,1
4,The mic is great.,1
975,It is the best charger I have seen on the market yet.,1
883,WARNING - DO NOT BUY!!.,0
677,Truly awful.,0
719,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
940,A lot of websites have been rating this a very good phone and so do I.,1
328,AMAZON SUCKS.,0
941,I have tried these cables with my computer and my iPod and it works just fine.,1
632,I did not have any problem with this item and would order it again if needed.,1
272,Unreliable - I'm giving up.,0
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
999,"You can not answer calls with the unit, never worked once!	",0
48,This case seems well made.,1
127,it did not work in my cell phone plug i am very up set with the charger!.,0
887,Best headset ever!!!.,1
803,"If there is a wind, it is completely useless.",0
74,This is a beautiful phone.,1
62,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
262,Works great.,1
383,After trying many many handsfree gadgets this is the one that finally works well.,1
527,The noise shield is incrediable.,1
463,Disappointed!.,0
859,"Terrible product, and waste of money!",0
922,Happy so far!.,1
997,Item Does Not Match Picture.,0
292,Excellent Phone.,1
811,#1 It Works - #2 It is Comfortable.,1
260,Good product - incredible value.,1
847,Very unreliable service from T-mobile !,0
785,This allows the possibility of double booking for the same date and time after the first.,0
45,It has all the features I want,1
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
745,Fantastic buy and will get again for whatever my next phone is,1
109,I purcashed this for the car charger and it does not work.,0
234,Really pleased with this product so far.,1
751,disappointing.,0
798,$50 Down the drain.,0
558,Virgin Wireless rocks and so does this cheap little phone!,1
145,I got this phone on reccomendation from a relative and I'm glad I did.,1
63,Buy a different phone - but not this.,0
917,Leopard Print is wonderfully wild!.,1
126,Basically the service was very bad.,0
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
987,Phone falls out easily.,0
